City,Latitude,Longitude
"Albany, N.Y.",42,-73
"Albuquerque, N.M.",35,-106
"Amarillo, Tex.",35,-101
"Anchorage, Alaska",61,-149
"Atlanta, Ga.",33,-84
"Austin, Tex.",30,-97
"Baker, Ore.",44,-117
"Baltimore, Md.",39,-76
"Bangor, Maine",44,-68
"Birmingham, Ala.",33,-86
"Bismarck, N.D.",46,-100
"Boise, Idaho",43,-116
"Boston, Mass.",42,-71
"Buffalo, N.Y.",42,-78
"Calgary, Alba., Can.",51,-114
"Carlsbad, N.M.",32,-104
"Charleston, S.C.",32,-79
"Charleston, W. Va.",38,-81
"Charlotte, N.C.",35,-80
"Cheyenne, Wyo.",41,-104
"Chicago, Ill.",41,-87
"Cincinnati, Ohio",39,-84
"Cleveland, Ohio",41,-81
"Columbia, S.C.",34,-81
"Columbus, Ohio",40,-83
"Dallas, Tex.",32,-96
"Denver, Colo.",39,-105
"Des Moines, Iowa",41,-93
"Detroit, Mich.",42,-83
"Dubuque, Iowa",42,-90
"Duluth, Minn.",46,-92
"Eastport, Maine",44,-67
"Edmonton, Alb., Can.",53,-113
"El Centro, Calif.",32,-115
"El Paso, Tex.",31,-106
"Eugene, Ore.",44,-123
"Fargo, N.D.",46,-96
"Flagstaff, Ariz.",35,-111
"Fort Worth, Tex.",32,-97
"Fresno, Calif.",36,-119
"Grand Junction, Colo.",39,-108
"Grand Rapids, Mich.",42,-85
"Havre, Mont.",48,-109
"Helena, Mont.",46,-112
"Honolulu, Hawaii",21,-157
"Hot Springs, Ark.",34,-93
"Houston, Tex.",29,-95
"Idaho Falls, Idaho",43,-112
"Indianapolis, Ind.",39,-86
"Jackson, Miss.",32,-90
"Jacksonville, Fla.",30,-81
"Juneau, Alaska",58,-134
"Kansas City, Mo.",39,-94
"Key West, Fla.",24,-81
"Kingston, Ont., Can.",44,-76
"Klamath Falls, Ore.",42,-121
"Knoxville, Tenn.",35,-83
"Las Vegas, Nev.",36,-115
"Lewiston, Idaho",46,-117
"Lincoln, Neb.",40,-96
"London, Ont., Can.",43,-81
"Long Beach, Calif.",33,-118
"Los Angeles, Calif.",34,-118
"Louisville, Ky.",38,-85
"Manchester, N.H.",43,-71
"Memphis, Tenn.",35,-90
"Miami, Fla.",25,-80
"Milwaukee, Wis.",43,-87
"Minneapolis, Minn.",44,-93
"Mobile, Ala.",30,-88
"Montgomery, Ala.",32,-86
"Montpelier, Vt.",44,-72
"Montreal, Que., Can.",45,-73
"Moose Jaw, Sask., Can.",50,-105
"Nashville, Tenn.",36,-86
"Nelson, B.C., Can.",49,-117
"Newark, N.J.",40,-74
"New Haven, Conn.",41,-72
"New Orleans, La.",29,-90
"New York, N.Y.",40,-73
"Nome, Alaska",64,-165
"Oakland, Calif.",37,-122
"Oklahoma City, Okla.",35,-97
"Omaha, Neb.",41,-95
"Ottawa, Ont., Can.",45,-75
"Philadelphia, Pa.",39,-75
"Phoenix, Ariz.",33,-112
"Pierre, S.D.",44,-100
"Pittsburgh, Pa.",40,-79
"Portland, Maine",43,-70
"Portland, Ore.",45,-122
"Providence, R.I.",41,-71
"Quebec, Que., Can.",46,-71
"Raleigh, N.C.",35,-78
"Reno, Nev.",39,-119
"Richfield, Utah",38,-112
"Richmond, Va.",37,-77
"Roanoke, Va.",37,-79
"Sacramento, Calif.",38,-121
"St. John, N.B., Can.",45,-66
"St. Louis, Mo.",38,-90
"Salt Lake City, Utah",40,-111
"San Antonio, Tex.",29,-98
"San Diego, Calif.",32,-117
"San Francisco, Calif.",37,-122
"San Jose, Calif.",37,-121
"San Juan, P.R.",18,-66
"Santa Fe, N.M.",35,-105
"Savannah, Ga.",32,-81
"Seattle, Wash.",47,-122
"Shreveport, La.",32,-93
"Sioux Falls, S.D.",43,-96
"Sitka, Alaska",57,-135
"Spokane, Wash.",47,-117
"Springfield, Ill.",39,-89
"Springfield, Mass.",42,-72
"Springfield, Mo.",37,-93
"Syracuse, N.Y.",43,-76
"Tampa, Fla.",27,-82
"Toledo, Ohio",41,-83
"Toronto, Ont., Can.",43,-79
"Tulsa, Okla.",36,-95
"Vancouver, B.C., Can.",49,-123
"Victoria, B.C., Can.",48,-123
"Virginia Beach, Va.",36,-75
"Washington, D.C.",38,-77
"Wichita, Kan.",37,-97
"Wilmington, N.C.",34,-77
"Winnipeg, Man., Can.",49,-97